topic11	steuer 0.341535915035	domain 0.139067353366	spam 0.0604223433546	aufschlag 0.0359522378266	talk 0.0332280493418	apparat 0.0317727176076	skepsis 0.0277269558574	betteln 0.0234260967642	tauglich 0.0227965333286	jahresbeginn 0.0212033437551	spezialgebiet 0.0201743982334	kurzstrecke 0.019392166314	reisepreis 0.016389528028	praktizierend 0.0147898520429	bundesvereinigung 0.0132136767374	vizepräsidentin 0.0129936031904	landesärztekammer 0.0110425372973	rundfunkanstalt 0.010079906267	tausender 0.00951506665511	cutter 0.0092909771763	privatsache 0.00762976721911	glaubensfrage 0.00713007093914	stromkonzern 0.00696938988349	denkansatz 0.00642953831641	tontechniker 0.00621885945119
topic12	blick 0.332051260112	werfen 0.100605909843	schatten 0.0830647942503	reiz 0.0339240292822	schlange 0.0334642440198	dunkelheit 0.0277785241811	gewöhnlich 0.0230292862884	blicken 0.0201207316999	geste 0.0183875751183	berühren 0.0166071188516	verbergen 0.0151173658513	bezirksregierung 0.0133347716451	eigenartig 0.01195516878	leere 0.0105233079275	bedrohlich 0.0105060266603	erblicken 0.0100134680459	verborgen 0.00987805002561	karotte 0.00864391543078	riegel 0.00840920722962	ferne 0.00764150393944	wahn 0.00695888165332	abrupt 0.00664154780307	echoen 0.0063094705819	hüten 0.00608637407648	gefroren 0.00558119682771
topic13	funktionierend 0.114481015112	bundesverband 0.107769378973	umstellen 0.0800923399407	bereicherung 0.0651821080544	rapide 0.0605188681198	hauptsache 0.0586199771	unerträglich 0.0408581585102	umschreiben 0.0400318853713	vorhalten 0.0316815425379	vorausschauend 0.0310989024613	kunststück 0.0279904309059	abzeichnen 0.0258427010921	unternehmensberater 0.0248274604721	schlummern 0.0244537271976	privatwirtschaft 0.0208105144703	dringlich 0.0205690092232	allererst 0.0172414180953	finanzlage 0.0171857422443	niederlegen 0.0170564732658	kursiv 0.0142681153824	stufenweise 0.014208411027	verpuffen 0.0122533287843	bedeutungslosigkeit 0.0103490994407	bolivianisch 0.0101911884706	zimperlich 0.00975047056531
topic14	lernen 0.707176679119	anreise 0.0472035414045	kanadisch 0.0435599439581	schnellstmöglich 0.024211876739	farm 0.0179645440533	imbiss 0.0151258955146	sprachschule 0.0129593601455	aktionsplan 0.0126474225657	gewohnheit 0.012165771045	kaliber 0.0120002794182	englischkenntnis 0.00804320735249	spießig 0.0058714823406	heraussuchen 0.00579132255088	plausch 0.00572892709359	amerikanerin 0.00510278277129	beherrschen 0.00399527034571	posthum 0.00382719223206	zeichentrickfilm 0.00353602613166	prärie 0.00347105921257	kennenlernen 0.00321212011997	berglandschaft 0.00296229416514	cyborg 0.00264742282123	endziel 0.00248226839753	kilometerweit 0.00233925177731	zerteilen 0.002297863926
topic15	signatur 0.122801062618	felge 0.0899529098163	fahrwerk 0.0865917467881	innenraum 0.0680772229394	ganzjährig 0.0614303636092	touristisch 0.0582735567641	wecker 0.032402684611	bekanntheitsgrad 0.0316384471519	einfahrt 0.0311781328535	tiefgarage 0.0283363663064	diva 0.0265078874741	grundregel 0.0243475220515	fahrradständer 0.0228488931575	gegenmaßnahme 0.0220088312745	avenue 0.0199351040965	verbaut 0.0198532653798	ölwechsel 0.0183899650509	zielpunkt 0.0167462510523	altenpflege 0.0156069819634	parkmöglichkeit 0.0153044630997	landeskunde 0.0127920941331	lehrerfortbildung 0.0120390979915	quarantäne 0.0119499318243	bereifung 0.0116235139375	atheismus 0.0112714456921
topic16	gemeinde 0.526022910785	bürgermeister 0.141595540983	gottesdienst 0.0894293396799	ortsteil 0.0406722478879	kommunal 0.0171293405484	dorf 0.0158384053172	neuanfang 0.0125634055279	örtlich 0.0106366582032	amt 0.00837793819578	zweckverband 0.00813393533487	stellen 0.00760540883595	kirchenvorstand 0.00755374757466	gemeindemitglied 0.00691810261409	bevölkerung 0.00644393738277	umliegend 0.005862095029	gehören 0.00576991809327	endzeit 0.00555147272302	konkurrieren 0.00396162146724	gemeindeleben 0.00350103523491	übergangsphase 0.00297067298149	bestehen 0.00292034980769	anliegen 0.00272485950268	freiwillig 0.00215556300766	übernehmen 0.00207459845911	klein 0.0019334017781
topic17	archiv 0.276140438427	übersicht 0.252348378068	akademie 0.172874243707	innerhalb 0.0271317609841	bube 0.0255837834127	erschließung 0.0253995002365	rostocker 0.0226311643687	sense 0.021929380474	wolfsburger 0.0160196936098	familiengeschichte 0.0130473306546	werbemöglichkeit 0.0117410445117	anspruchslos 0.0111403550687	verspeisen 0.00975915786642	bedenkzeit 0.00939666314345	plagen 0.00858110752607	biografisch 0.00819665308353	volltextsuche 0.0080923379775	alleinstehende 0.00711407104331	vollständig 0.00669425220256	annalen 0.00659042962314	steuerfreibetrag 0.00569546215849	nachgefragt 0.0053031789953	vergesslich 0.00515940993792	allgemeinwissen 0.00482083792276	ahnentafel 0.00441786676525
topic18	realistisch 0.245118733957	abgesehen 0.0924329429187	bayer 0.0744166139871	umbruch 0.0499994936386	delta 0.0446114907594	weiterkommen 0.0429398763166	hinlegen 0.0314356154584	unerfahren 0.0269342174589	realismus 0.025410647113	leader 0.0236044473431	rotieren 0.0233708061986	phrase 0.0230826205384	marktwert 0.0207747210551	grübeln 0.0199413444232	desolat 0.01990262806	patzer 0.0195304008329	angestammt 0.0174322637764	saisonbeginn 0.0160728219851	brillieren 0.0151616246218	angedacht 0.0132494072725	unterschätzt 0.0125026138989	gesamtpaket 0.0122484916245	zenit 0.0119275231647	verheißen 0.00973439670453	tangieren 0.0095374560825
topic19	schule 0.36912883074	schülerin 0.0944926706867	mädchen 0.0810912594491	junge 0.0462846507575	eltern 0.0300312945746	lehrerin 0.0300086179215	lehrer 0.0246154995161	gymnasium 0.0223150307707	schulisch 0.0140629447881	pädagogik 0.0135745060641	pädagoge 0.0111045564351	jung 0.00975945899511	schulzeit 0.00839007772833	geben 0.00805805753128	jugend 0.00760856883413	fsk 0.00753067952866	sommerferien 0.00734456773162	unterrichten 0.00706894024673	schulhof 0.00691410678469	pädagogisch 0.00674741837773	schulleitung 0.00613341342515	ferien 0.00609763732487	internat 0.0060434689247	abitur 0.00593589381191	klassenzimmer 0.00572200269331
topic20	befinden 0.329497032994	vorhanden 0.133335515125	offen 0.0540518918485	zugang 0.0433450460929	stehen 0.0355771679794	unmittelbar 0.029692756806	öffnungszeit 0.0279636804381	etage 0.0244250935606	lage 0.0194997792257	treppe 0.0189327117577	verfügung 0.0175591996364	groß 0.0142847389353	bestehen 0.0136971393864	verfügen 0.0117867788816	liegen 0.0114813408103	aufgabenstellung 0.0109676190948	direkt 0.00903015832395	zentral 0.00890840416454	erreichen 0.00869901009698	weit 0.00733361122913	besitzen 0.00705368961897	befördern 0.00677494163156	dienen 0.0067209926817	esszimmer 0.00647770748377	bushaltestelle 0.00637993515573
