topic11	stelle 0.798820967333	tunnel 0.047458259664	hochwasser 0.0265752393951	stellenanzeige 0.0227406975627	stellenmarkt 0.010994615008	anfangszeit 0.00927526354681	zusammenführung 0.00850360447559	beeinflusst 0.00806706786228	jobsuche 0.00675089589305	jobbörse 0.00584438023387	rücksichtsvoll 0.00490225554636	bisschen 0.00466728086657	drittmittel 0.00436239338954	berufsanfänger 0.00420636267062	garaus 0.00417111506252	arbeitsvermittlung 0.00404906403074	zwischensequenz 0.00342990324582	pilzinfektion 0.00320071920718	privatbereich 0.00287669340377	stellengesuch 0.00262017811885	autoritativ 0.00237276582832	unpassierbar 0.00236190034714	einsturzgefährdet 0.0017980492706	päppeln 0.00110720396266	duftöl 0.000938659300171
topic12	idee 0.480476652892	anregung 0.0887850075296	umsetzen 0.0507528167113	feedback 0.0398709997653	eigen 0.0333664745862	machen 0.0242053874381	gedanke 0.0165209313636	möglichkeit 0.0141679973406	entstehen 0.013864761938	finden 0.0128558655628	gestalten 0.0111616162199	geben 0.0108994025245	bringen 0.0108591529005	individualität 0.0102663093293	entwickeln 0.0100368795298	übertragbar 0.0099504303226	vorstellen 0.00908091751369	interessant 0.00863757252082	diskussionsrunde 0.00759054841186	gut 0.00560078719069	persönlich 0.0053751407348	wichtig 0.00531120974446	nutzen 0.00512494089733	vorenthalten 0.00480692580912	einstimmung 0.00440442764224
topic13	vorsatz 0.136591493237	uniform 0.120850604517	spanier 0.117128285468	nachdruck 0.0973877777134	verschleiß 0.078972176574	knallen 0.0696062249748	hundertprozentig 0.0669565246883	sporadisch 0.0651529966041	trompete 0.0643438053928	belehrung 0.0488743906873	abschicken 0.0408011826492	älteste 0.0389495137614	feststehend 0.0338473509248	beize 0.00877610301299	gamasche 0.00510043177962	verpfänden 0.00481289124933	strich 2.3265380529e-06	gut 2.15533037794e-08	drama 1.8484621549e-08	leicht 1.8467126423e-08	zeit 1.84636584357e-08	eigen 1.84635854675e-08	jahr 1.84630691205e-08	kommen 1.84629470389e-08	streng 1.84628333318e-08
topic14	produkt 0.877486455388	creme 0.0455977539942	kaufentscheidung 0.00995915480045	pflegeprodukt 0.00615284416712	hautbild 0.00538455287702	austrocknung 0.00471945684729	verwenden 0.00471643534113	enthalten 0.00412703732496	inhaltsstoff 0.00259538200543	finden 0.00219711016939	hautalterung 0.00206097145448	hauptsächlich 0.00197242173933	tränensack 0.00192161530155	erleichtern 0.0018292084334	unterstützen 0.00178736598884	erhalten 0.00164627483366	ständig 0.00137753538129	paraffin 0.00132108097344	faltenbildung 0.00116121828505	nachtkerzenöl 0.00111378558358	markenqualität 0.00108496791326	entwickeln 0.00103084543774	pflanzenextrakt 0.000918543483729	brustverkleinerung 0.000898715743059	speziell 0.000802430225599
topic15	beschäftigte 0.350905314765	tarifvertrag 0.107474782494	ausbildungsplatz 0.0751014857325	kündigungsfrist 0.0653751968294	privatisierung 0.0473783579847	mitbestimmung 0.0406479606379	gescheitert 0.0371720323306	marburger 0.0357667357498	erwirtschaften 0.0340152663196	tochterunternehmen 0.0319858577777	arbeitgeberverband 0.0260171895476	mfs 0.0143464733463	arbeitskampf 0.0121960765248	abschluss 0.0118629878332	neueinstellung 0.0104088449809	ende 0.0101484861859	beamtenbund 0.00900493199451	gelten 0.00836612715878	dienst 0.00770595305349	flächentarifvertrag 0.00728982737703	öffentlich 0.0069973457634	arbeitszeitverkürzung 0.00681146795941	interesse 0.00677832875529	gleich 0.0031491527191	drohen 0.00291513561903
topic16	anfrage 0.458763704663	sogennant 0.222046502641	ästhetisch 0.0802467017392	abbruch 0.0727957419679	innerstädtisch 0.0223961762758	verpflichtet 0.0214792340128	gesetzesänderung 0.0190833176742	sportgerät 0.0136339939826	objektorientiert 0.0133225806693	feminin 0.0117723690685	sozialverträglich 0.00856575839481	reisend 0.00757454654313	wasserweg 0.00735564208297	nebenfigur 0.00662118007076	tagesfahrt 0.00641747587807	kostenrechnung 0.00506262131328	kommunikationsmöglichkeit 0.00488486012266	internetagentur 0.00455017764582	berufslaufbahn 0.0030126057682	transportmöglichkeit 0.00289445072705	betreuungsmöglichkeit 0.00221700777677	busnetz 0.00193858149605	richten 0.000710793410621	altfall 0.000703845205843	wenden 0.000644056252401
topic17	entscheidung 0.286120051633	urteil 0.149093978779	entscheiden 0.124656223619	auffassung 0.0335914762625	landgericht 0.0312896596639	ersichtlich 0.0224684556582	zutreffend 0.0159970820913	fall 0.0147571756167	begründet 0.0133352660767	hinreichend 0.0124257732574	angefochten 0.0103252702692	prozentpunkt 0.0101932095164	darlegen 0.00963516903689	sache 0.00896224836176	wortlaut 0.00832476119536	grund 0.00779206560895	lassen 0.00744296645205	rechtfertigen 0.00721335950908	ergebnis 0.00704508667611	rechtswidrig 0.00678341057986	abrechnen 0.00669447990375	zurückweisen 0.0064670495502	geschädigte 0.00618523562281	amtsgericht 0.00593833179929	gleichbehandlung 0.00574815015614
topic18	stück 0.814328211838	mark 0.13341273377	mathe 0.0168004585339	bewilligen 0.00514828896885	kirchenraum 0.00473451711114	geldmangel 0.00335216804044	sakristei 0.00295042380499	hochaltar 0.00294782928218	erdkunde 0.00292544251685	neugotisch 0.00229418433884	seitenschiff 0.00222390724799	pfarrhof 0.0020577486741	vamp 0.00137459712103	stammen 0.00110096882308	anschließend 0.000942850831816	schulgottesdienst 0.000565377602203	notkirche 0.000494253380532	neuromanisch 0.000364098290415	dombaumeister 0.000305923457573	weihe 0.000232164982425	jahr 0.000149944151861	anfang 0.000142604972773	beginnen 0.000140787434802	üblich 0.000125049751021	letzt 0.000120440561155
topic19	tauschen 0.432922564777	gefälscht 0.088464558791	pokémon 0.0855718078058	fälschung 0.0679631852818	erkennung 0.0653365863368	südamerikanisch 0.0585376731972	zuflucht 0.0468982821902	grenzregion 0.029102102685	fachgespräch 0.0235014910561	dreistündig 0.0227470609038	klimatechnik 0.0142366818082	datenmaterial 0.0133905648526	ärmste 0.0117445936543	berufsbildungszentrum 0.00825897393777	kältetechnik 0.00733361717772	imitat 0.00668299237736	erkennen 0.00611297016582	blattgrün 0.00279562038519	finanzkonzept 0.00243134419328	projektbegleitung 0.00240173276687	bilderausstellung 0.000958419109308	begegnen 0.000170527438113	handeln 7.07480497614e-05	befinden 2.56083790705e-08	erkennbar 2.42619527974e-08
topic20	regal 0.193615085864	halbjahr 0.117797564776	balken 0.100687485526	werbespot 0.0622913599926	mittelgroß 0.0591369892643	vorderseite 0.0533778665549	siegreich 0.0391959311793	pda 0.0350516749221	amüsieren 0.0318817271524	spatz 0.0286258441803	werber 0.0272829754464	holprig 0.0271163532809	börsengang 0.0241492213967	freiherr 0.0237116304933	liebäugeln 0.0136837474832	patentieren 0.0135002441282	personalchef 0.0112174321638	finanzspritze 0.0107776794296	seelenheil 0.0103175695417	kinosaal 0.00968141639537	nettogewinn 0.00926338827375	bildschirmdiagonale 0.00773900535215	brennessel 0.00709730353601	wirtschaftsförderer 0.00597551771893	fink 0.00568451287745
